Category,Journal Name,ISSN,EISSN,Tier (Zone),Is Top
Engineering,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,0742-4795,1528-8919,3 区,No
Engineering,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1678-5878,1806-3691,3 区,No
Engineering,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,1358-8265,1754-2111,3 区,No
Engineering,Journal of Nanofluids,2169-432X,2169-4338,3 区,No
Engineering,Frontiers in Future Transportation,-,2673-5210,3 区,No
Engineering,Journal of Industrial and Management Optimization,1547-5816,1553-166X,3 区,No
Engineering,FUSION ENGINEERING AND DESIGN,0920-3796,1873-7196,3 区,No
Engineering,Transportation Safety and Environment,-,2631-4428,3 区,No
Engineering,COMPLEXITY,1076-2787,1099-0526,3 区,No
Engineering,Production Engineering Archives,2353-5156,2353-7779,3 区,No
Engineering,Computers and Concrete,1598-8198,1598-818X,3 区,No
Engineering,MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,0923-6082,1573-0824,3 区,No
Engineering,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,0887-3828,1943-5509,3 区,No
Engineering,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,0894-6507,1558-2345,3 区,No
Engineering,Journal of Advanced Concrete Technology,1346-8014,1347-3913,3 区,No
Engineering,Systems Engineering,1098-1241,1520-6858,3 区,No
Engineering,JOURNAL OF TURBULENCE,1468-5248,1468-5248,3 区,No
Engineering,Polish Maritime Research,1233-2585,2083-7429,3 区,No
Engineering,JOURNAL OF SPACECRAFT AND ROCKETS,0022-4650,1533-6794,3 区,No
Engineering,IET Generation Transmission & Distribution,1751-8687,1751-8695,3 区,No
Engineering,Energy Technology,2194-4288,2194-4296,3 区,No
Engineering,MICRON,0968-4328,1878-4291,3 区,No
Engineering,KOREA-AUSTRALIA RHEOLOGY JOURNAL,1226-119X,2093-7660,3 区,No
Engineering,Proceedings of the Institution of Civil Engineers-Engineering Sustainability,1478-4629,1751-7680,3 区,No
Engineering,Journal of Sustainable Mining,2543-4950,2300-3960,3 区,No
Engineering,JOURNAL OF HYDROLOGIC ENGINEERING,1084-0699,1943-5584,3 区,No
Engineering,JOURNAL OF AIRCRAFT,0021-8669,1533-3868,3 区,No
Engineering,MEASUREMENT & CONTROL,0020-2940,2051-8730,3 区,No
Engineering,OPTIMIZATION AND ENGINEERING,1389-4420,1573-2924,3 区,No
Engineering,ENGINEERING COMPUTATIONS,0264-4401,1758-7077,3 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,0954-4054,2041-2975,3 区,No
Engineering,International Journal of Micro Air Vehicles,1756-8293,1756-8307,3 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,1353-2618,1751-8563,3 区,No
Engineering,Green Processing and Synthesis,2191-9542,2191-9550,3 区,No
Engineering,SPE RESERVOIR EVALUATION & ENGINEERING,1094-6470,1930-0212,3 区,No
Engineering,Journal of Simulation,1747-7778,1747-7786,3 区,No
Engineering,European Journal of Environmental and Civil Engineering,1964-8189,2116-7214,3 区,No
Engineering,International Journal of Green Energy,1543-5075,1543-5083,3 区,No
Engineering,JOURNAL OF ELASTICITY,0374-3535,1573-2681,3 区,No
Engineering,Applied Radiation and Isotopes,0969-8043,1872-9800,3 区,No
Engineering,JOURNAL OF SURVEYING ENGINEERING,0733-9453,1943-5428,3 区,No
Engineering,Nanotechnology and Precision Engineering,1672-6030,2589-5540,3 区,No
Engineering,Geotechnique Letters,2049-825X,2045-2543,3 区,No
Engineering,International Journal of Signal and Imaging Systems Engineering,1748-0698,1748-0701,3 区,No
Engineering,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,1748-006X,1748-0078,3 区,No
Engineering,Ships and Offshore Structures,1744-5302,1754-212X,3 区,No
Engineering,Mining Metallurgy & Exploration,2524-3462,2524-3470,3 区,No
Engineering,JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,0309-3247,2041-3130,3 区,No
Engineering,International Journal of Low-Carbon Technologies,1748-1317,1748-1325,3 区,No
Engineering,BIOMECHANICS,-,2673-7078,3 区,No
Engineering,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,1572-8757,3 区,No
Engineering,Journal of Electronics & Information Technology,1009-5896,1009-5896,3 区,No
Engineering,Journal of Earthquake and Tsunami,1793-4311,1793-7116,4 区,No
Engineering,Vehicles,-,2624-8921,4 区,No
Engineering,JOURNAL OF ENGINEERING MATHEMATICS,0022-0833,1573-2703,4 区,No
Engineering,JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,1048-9002,1528-8927,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,1350-6501,2041-305X,4 区,No
Engineering,PROPELLANTS EXPLOSIVES PYROTECHNICS,0721-3115,1521-4087,4 区,No
Engineering,MICROSCOPY AND MICROANALYSIS,1431-9276,1435-8115,4 区,No
Engineering,Acta Polytechnica Hungarica,1785-8860,1785-8860,4 区,No
Engineering,International Journal of Sustainable Energy,1478-6451,1478-646X,4 区,No
Engineering,Smart Structures and Systems,1738-1584,1738-1991,4 区,No
Engineering,Journal of Building Performance Simulation,1940-1493,1940-1507,4 区,No
Engineering,ORGANIC ELECTRONICS,1566-1199,1878-5530,4 区,No
Engineering,International Journal of Coal Preparation and Utilization,1939-2699,1939-2702,4 区,No
Engineering,Advances in Mechanical Engineering,1687-8132,1687-8140,4 区,No
Engineering,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,0269-9648,1469-8951,4 区,No
Engineering,Transactions of FAMENA,1333-1124,1333-1124,4 区,No
Engineering,JOURNAL OF HYDRAULIC RESEARCH,0022-1686,1814-2079,4 区,No
Engineering,EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,4 区,No
Engineering,JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,0340-0204,1437-4358,4 区,No
Engineering,International Journal of Industrial Engineering Computations,1923-2926,1923-2934,4 区,No
Engineering,Journal of Pipeline Systems Engineering and Practice,1949-1190,1949-1204,4 区,No
Engineering,SEMICONDUCTOR SCIENCE AND TECHNOLOGY,0268-1242,1361-6641,4 区,No
Engineering,MICROELECTRONICS RELIABILITY,0026-2714,1872-941X,4 区,No
Engineering,JOURNAL OF DEEP SPACE EXPLORATION,2096-9287,-,4 区,No
Engineering,REVIEW OF SCIENTIFIC INSTRUMENTS,0034-6748,1089-7623,4 区,No
Engineering,Journal of Engineered Fibers and Fabrics,1558-9250,1558-9250,4 区,No
Engineering,Journal of Mechanical Science and Technology,1738-494X,1976-3824,4 区,No
Engineering,JOURNAL OF ADVANCED TRANSPORTATION,0197-6729,2042-3195,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,0954-4089,2041-3009,4 区,No
Engineering,JOURNAL OF CHEMICAL THERMODYNAMICS,0021-9614,1096-3626,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,0965-0911,1751-7702,4 区,No
Engineering,ISSUES IN SCIENCE AND TECHNOLOGY,0748-5492,1938-1557,4 区,No
Engineering,INTERNATIONAL JOURNAL OF PHOTOENERGY,1110-662X,1687-529X,4 区,No
Engineering,APPLIED OPTICS,1559-128X,2155-3165,4 区,No
Engineering,IEEE TRANSACTIONS ON MAGNETICS,0018-9464,1941-0069,4 区,No
Engineering,IET Electrical Systems in Transportation,2042-9738,2042-9746,4 区,No
Engineering,INDUSTRIAL LUBRICATION AND TRIBOLOGY,0036-8792,1758-5775,4 区,No
Engineering,Science and Technology for Energy Transition,-,2804-7699,4 区,No
Engineering,ENERGY EXPLORATION & EXPLOITATION,0144-5987,2048-4054,4 区,No
Engineering,IEEE Power & Energy Magazine,1540-7977,1558-4216,4 区,No
Engineering,HEAT AND MASS TRANSFER,0947-7411,1432-1181,4 区,No
Engineering,CRYPTOLOGIA,0161-1194,1558-1586,4 区,No
Engineering,IET Electric Power Applications,1751-8660,1751-8679,4 区,No
Engineering,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,0733-9437,1943-4774,4 区,No
Engineering,Biomicrofluidics,-,1932-1058,4 区,No
Engineering,JOURNAL OF AEROSPACE ENGINEERING,0893-1321,1943-5525,4 区,No
Engineering,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,0098-9886,1097-007X,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,0954-4062,2041-2983,4 区,No
Engineering,Wind,-,2674-032X,4 区,No
Engineering,Journal of the Society for Information Display,1071-0922,1938-3657,4 区,No
Engineering,JOURNAL OF MECHANICS,1727-7191,1811-8216,4 区,No
Engineering,International Journal of Engine Research,1468-0874,2041-3149,4 区,No
Engineering,JOURNAL OF CELLULAR PLASTICS,0021-955X,1530-7999,4 区,No
Engineering,IET Power Electronics,1755-4535,1755-4543,4 区,No
Engineering,JOURNAL OF LASER APPLICATIONS,1042-346X,1938-1387,4 区,No
Engineering,International Journal for Uncertainty Quantification,2152-5080,2152-5099,4 区,No
Engineering,JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,0887-8722,1533-6808,4 区,No
Engineering,ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,2048-4038,4 区,No
Engineering,Journal of Grey System,0957-3720,-,4 区,No
Engineering,JOURNAL OF MICROSCOPY,0022-2720,1365-2818,4 区,No
Engineering,International Journal of Chemical Engineering,1687-806X,1687-8078,4 区,No
Engineering,INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,0894-3370,1099-1204,4 区,No
Engineering,Energy Sources Part A-Recovery Utilization and Environmental Effects,1556-7036,1556-7230,4 区,No
Engineering,JOURNAL OF POROUS MEDIA,1091-028X,1934-0508,4 区,No
Engineering,INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,1061-8562,1029-0257,4 区,No
Engineering,JOURNAL OF ENERGY ENGINEERING,0733-9402,1943-7897,4 区,No
Engineering,ASME Journal of Heat and Mass Transfer,2832-8450,2832-8469,4 区,No
Engineering,SEPARATION SCIENCE AND TECHNOLOGY,0149-6395,1520-5754,4 区,No
Engineering,International Journal of Intelligent Transportation Systems Research,1348-8503,1868-8659,4 区,No
Engineering,AERONAUTICAL JOURNAL,0001-9240,2059-6464,4 区,No
Engineering,ELECTRICAL ENGINEERING,0948-7921,1432-0487,4 区,No
Engineering,IEEE Open Journal of Nanotechnology,-,2644-1292,4 区,No
Engineering,IET Science Measurement & Technology,1751-8822,1751-8830,4 区,No
Engineering,International Journal of Vehicle Performance,1745-3194,1745-3208,4 区,No
Engineering,Lubrication Science,0954-0075,1557-6833,4 区,No
Engineering,JOURNAL OF THE MECHANICAL BEHAVIOR OF MATERIALS,0334-8938,2191-0243,4 区,No
Engineering,JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,0002-8711,2161-6027,4 区,No
Engineering,FIBERS AND POLYMERS,1229-9197,1875-0052,4 区,No
Engineering,ADVANCES IN POLYMER TECHNOLOGY,0730-6679,1098-2329,4 区,No
Engineering,International Journal of Steel Structures,1598-2351,2093-6311,4 区,No
Engineering,Manufacturing Letters,2213-8463,2213-8463,4 区,No
Engineering,International Journal of Computational Methods,0219-8762,1793-6969,4 区,No
Engineering,Frontiers in Energy Research,2296-598X,2296-598X,4 区,No
Engineering,European Journal of Industrial Engineering,1751-5254,1751-5262,4 区,No
Engineering,Journal of Energy in Southern Africa,1021-447X,2413-3051,4 区,No
Engineering,Revista de la Construccion,0718-915X,0718-915X,4 区,No
Engineering,MARITIME ENGINEERING,1741-7597,1751-7737,4 区,No
Engineering,MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,0946-7076,1432-1858,4 区,No
Engineering,HEAT TRANSFER ENGINEERING,0145-7632,1521-0537,4 区,No
Engineering,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,0199-6231,1528-8986,4 区,No
Engineering,TEXTILE RESEARCH JOURNAL,0040-5175,1746-7748,4 区,No
Engineering,TEXTILE PROGRESS,0040-5167,1754-2278,4 区,No
Engineering,Structural Engineering International,1016-8664,1683-0350,4 区,No
Engineering,COMBUSTION THEORY AND MODELLING,1364-7830,1741-3559,4 区,No
Engineering,Journal of Aerospace Information Systems,1940-3151,2327-3097,4 区,No
Engineering,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,1229-9138,1976-3832,4 区,No
Engineering,Iranian Journal of Science and Technology-Transactions of Mechanical Engineering,2228-6187,2364-1835,4 区,No
Engineering,Iranian Journal of Science and Technology-Transactions of Electrical Engineering,2228-6179,2364-1827,4 区,No
Engineering,JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,0832-7823,0832-7823,4 区,No
Engineering,COLORATION TECHNOLOGY,1472-3581,1478-4408,4 区,No
Engineering,Proceedings of the Institution of Mechanical Engineers Part M-Journal of Engineering for the Maritime Environment,1475-0902,2041-3084,4 区,No
Engineering,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,0960-1317,1361-6439,4 区,No
Engineering,Building Services Engineering Research & Technology,0143-6244,1477-0849,4 区,No
Engineering,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,1094-6969,1941-0123,4 区,No
Engineering,JOURNAL OF CHEMICAL AND ENGINEERING DATA,0021-9568,1520-5134,4 区,No
Engineering,Periodica Polytechnica-Civil Engineering,0553-6626,1587-3773,4 区,No
Engineering,3D Printing and Additive Manufacturing,2329-7662,2329-7670,4 区,No
Engineering,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,0925-1030,1573-1979,4 区,No
Engineering,Geotechnics,-,2673-7094,4 区,No
Engineering,JOURNAL OF ELECTRONIC PACKAGING,1043-7398,1528-9044,4 区,No
Engineering,Multiscale and Multidisciplinary Modeling Experiments and Design,2520-8160,2520-8179,4 区,No
Engineering,JOURNAL OF FIRE SCIENCES,0734-9041,1530-8049,4 区,No
Engineering,Journal of Applied Fluid Mechanics,1735-3572,1735-3645,4 区,No
Engineering,Promet-Traffic & Transportation,0353-5320,1848-4069,4 区,No
Engineering,FUSION SCIENCE AND TECHNOLOGY,1536-1055,1943-7641,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,0965-0903,1751-7699,4 区,No
Engineering,Journal of Electrical Engineering & Technology,1975-0102,2093-7423,4 区,No
Engineering,Journal of Engineering Thermophysics,1810-2328,1990-5432,4 区,No
Engineering,Quarterly Journal of Engineering Geology and Hydrogeology,1470-9236,2041-4803,4 区,No
Engineering,Microscopy,2050-5698,2050-5701,4 区,No
Engineering,INTERNATIONAL POLYMER PROCESSING,0930-777X,2195-8602,4 区,No
Engineering,SPE DRILLING & COMPLETION,1064-6671,1930-0204,4 区,No
Engineering,Tehnicki Vjesnik-Technical Gazette,1330-3651,1848-6339,4 区,No
Engineering,Advances in Civil Engineering,1687-8086,1687-8094,4 区,No
Engineering,International Journal of Aeronautical and Space Sciences,2093-274X,2093-2480,4 区,No
Engineering,IET Signal Processing,1751-9675,1751-9683,4 区,No
Engineering,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,1541-7794,1541-7808,4 区,No
Engineering,SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,0256-2499,0973-7677,4 区,No
Engineering,Journal of Renewable and Sustainable Energy,1941-7012,1941-7012,4 区,No
Engineering,ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,0965-092X,1751-7710,4 区,No
Engineering,Journal of Instrumentation,-,1748-0221,4 区,No
Engineering,CHEMICAL ENGINEERING COMMUNICATIONS,0098-6445,1563-5201,4 区,No
Engineering,Mechanical Sciences,2191-9151,2191-916X,4 区,No
Engineering,Manufacturing Technology,1213-2489,2787-9402,4 区,No
Engineering,International Journal for Multiscale Computational Engineering,1543-1649,1940-4352,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,0954-4070,2041-2991,4 区,No
Engineering,Nanoscale and Microscale Thermophysical Engineering,1556-7265,1556-7273,4 区,No
Engineering,NUCLEAR SCIENCE AND ENGINEERING,0029-5639,1943-748X,4 区,No
Engineering,APPLIED RHEOLOGY,1430-6395,1617-8106,4 区,No
Engineering,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,0008-4034,1939-019X,4 区,No
Engineering,QUEUEING SYSTEMS,0257-0130,1572-9443,4 区,No
Engineering,CANADIAN JOURNAL OF CIVIL ENGINEERING,0315-1468,1208-6029,4 区,No
Engineering,Journal of Thermal Science and Engineering Applications,1948-5085,1948-5093,4 区,No
Engineering,Gradevinar,0350-2465,1333-9095,4 区,No
Engineering,ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,4 区,No
Engineering,EPJ Nuclear Sciences & Technologies,2491-9292,2491-9292,4 区,No
Engineering,International Journal of Renewable Energy Development-IJRED,2252-4940,2252-4940,4 区,No
Engineering,Journal of Industrial Textiles,1528-0837,1530-8057,4 区,No
Engineering,JOURNAL OF SURFACTANTS AND DETERGENTS,1097-3958,1558-9293,4 区,No
Engineering,IEEE Latin America Transactions,1548-0992,1548-0992,4 区,No
Engineering,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,0039-2480,-,4 区,No
Engineering,MICROGRAVITY SCIENCE AND TECHNOLOGY,0938-0108,1875-0494,4 区,No
Engineering,MATERIALES DE CONSTRUCCION,0465-2746,1988-3226,4 区,No
Engineering,Journal of Building Physics,1744-2591,1744-2583,4 区,No
Engineering,AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,1748-8842,1758-4213,4 区,No
Engineering,Transport,1648-4142,1648-3480,4 区,No
Engineering,Scientia Iranica,1026-3098,-,4 区,No
Engineering,Advances in Concrete Construction,2287-5301,2287-531X,4 区,No
Engineering,Science and Technology for the Built Environment,2374-4731,2374-474X,4 区,No
Engineering,JOURNAL OF THE TEXTILE INSTITUTE,0040-5000,1754-2340,4 区,No
Engineering,JOURNAL OF NONLINEAR COMPLEX AND DATA SCIENCE,1565-1339,2191-0294,4 区,No
Engineering,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING,0954-4100,2041-3025,4 区,No
Engineering,PETROLEUM SCIENCE AND TECHNOLOGY,1091-6466,1532-2459,4 区,No
Engineering,MAGAZINE OF CONCRETE RESEARCH,0024-9831,1751-763X,4 区,No
Engineering,IET Circuits Devices & Systems,1751-858X,1751-8598,4 区,No
Engineering,PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING,0324-5853,1587-3765,4 区,No
Engineering,Baltic Journal of Road and Bridge Engineering,1822-427X,1822-4288,4 区,No
Engineering,INSTRUMENTATION SCIENCE & TECHNOLOGY,1073-9149,1525-6030,4 区,No
Engineering,MAPAN-Journal of Metrology Society of India,0970-3950,0974-9853,4 区,No
Engineering,FLUCTUATION AND NOISE LETTERS,0219-4775,1793-6780,4 区,No
Engineering,International Transactions on Electrical Energy Systems,2050-7038,2050-7038,4 区,No
Engineering,Autex Research Journal,1470-9589,2300-0929,4 区,No
Engineering,MACROMOLECULAR THEORY AND SIMULATIONS,1022-1344,1521-3919,4 区,No
Engineering,OIL SHALE,0208-189X,1736-7492,4 区,No
Engineering,Radiation Effects and Defects in Solids,1042-0150,1029-4953,4 区,No
Engineering,Journal of Power Electronics,1598-2092,2093-4718,4 区,No
Engineering,Journal of Neutron Research,1023-8166,1477-2655,4 区,No
Engineering,Sensor Review,0260-2288,1758-6828,4 区,No
Engineering,International Journal of Physical Modelling in Geotechnics,1346-213X,2042-6550,4 区,No
Engineering,PARTICULATE SCIENCE AND TECHNOLOGY,0272-6351,1548-0046,4 区,No
Engineering,Metrology and Measurement Systems,0860-8229,2300-1941,4 区,No
Engineering,SPE Production & Operations,1930-1855,1930-1863,4 区,No
Engineering,International Journal of Aerospace Engineering,1687-5966,1687-5974,4 区,No
Engineering,NUCLEAR TECHNOLOGY,0029-5450,1943-7471,4 区,No
Engineering,COMBUSTION SCIENCE AND TECHNOLOGY,0010-2202,1563-521X,4 区,No
Engineering,Journal of Eta Maritime Science,-,2148-9386,4 区,No
Engineering,Journal of Engineering Research,2307-1877,2307-1885,4 区,No
Engineering,Renewable Energy Research and Applications,2717-252X,2676-7430,4 区,No
Engineering,International Journal of Ventilation,1473-3315,2044-4044,4 区,No
Engineering,AATCC REVIEW,1532-8813,1532-8813,4 区,No
Engineering,Advances in Applied Mathematics and Mechanics,2070-0733,2075-1354,4 区,No
Engineering,FLUID DYNAMICS RESEARCH,0169-5983,1873-7005,4 区,No
Engineering,Journal of the Faculty of Engineering and Architecture of Gazi University,1300-1884,1304-4915,4 区,No
Engineering,INTERNATIONAL JOURNAL OF ELECTRONICS,0020-7217,1362-3060,4 区,No
Engineering,Earthquakes and Structures,2092-7614,2092-7622,4 区,No
Engineering,ACI MATERIALS JOURNAL,0889-325X,1944-737X,4 区,No
Engineering,GEOTECHNICAL TESTING JOURNAL,0149-6115,1945-7545,4 区,No
Engineering,Nuclear Technology & Radiation Protection,1451-3994,1452-8185,4 区,No
Engineering,COMPTES RENDUS MECANIQUE,1631-0721,1873-7234,4 区,No
Engineering,Mechanics & Industry,2257-7777,2257-7750,4 区,No
Engineering,JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,0253-3839,2158-7299,4 区,No
Engineering,Archives of Mining Sciences,0860-7001,1689-0469,4 区,No
Engineering,SHOCK AND VIBRATION,1070-9622,1875-9203,4 区,No
Engineering,Revue Roumaine des Sciences Techniques-Serie Electrotechnique et Energetique,0035-4066,-,4 区,No
Engineering,JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,0923-8174,1573-0727,4 区,No
Engineering,INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,1072-4761,1943-670X,4 区,No
Engineering,OPTICAL ENGINEERING,0091-3286,1560-2303,4 区,No
Engineering,HEAT TRANSFER RESEARCH,1064-2285,2162-6561,4 区,No
Engineering,TENSIDE SURFACTANTS DETERGENTS,0932-3414,2195-8564,4 区,No
Engineering,Journal of Advanced Mechanical Design Systems and Manufacturing,1881-3054,1881-3054,4 区,No
Engineering,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,1096-4290,1099-047X,4 区,No
Engineering,International Journal of Aeroacoustics,1475-472X,2048-4003,4 区,No
Engineering,Transactions of the Canadian Society for Mechanical Engineering,0315-8977,2816-5691,4 区,No
Engineering,Micro-Switzerland,-,2673-8023,4 区,No
Engineering,MICROWAVE AND OPTICAL TECHNOLOGY LETTERS,0895-2477,1098-2760,4 区,No
Engineering,Journal of Photonics for Energy,1947-7988,1947-7988,4 区,No
Engineering,SAE International Journal of Engines,1946-3936,1946-3944,4 区,No
Engineering,Science and Technology of Nuclear Installations,1687-6075,1687-6083,4 区,No
Engineering,Latin American Journal of Solids and Structures,1679-7825,1679-7825,4 区,No
Engineering,JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,0022-3131,1881-1248,4 区,No
Engineering,JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,0094-9930,1528-8978,4 区,No
Engineering,Elektronika Ir Elektrotechnika,1392-1215,1392-1215,4 区,No
Engineering,Mechanics of Solids,0025-6544,1934-7936,4 区,No
Engineering,Transport and Telecommunication Journal,1407-6160,1407-6179,4 区,No
Engineering,MARINE TECHNOLOGY SOCIETY JOURNAL,0025-3324,1948-1209,4 区,No
Engineering,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,0920-5071,1569-3937,4 区,No
Engineering,ARCHIVES OF MECHANICS,0373-2029,0373-2029,4 区,No
Engineering,Journal of Nuclear Engineering,-,2673-4362,4 区,No
Engineering,CHEMICAL ENGINEERING & TECHNOLOGY,0930-7516,1521-4125,4 区,No
Engineering,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,0104-6632,1678-4383,4 区,No
Engineering,CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,1028-6608,1029-0249,4 区,No
Engineering,Macromolecular Reaction Engineering,1862-832X,1862-8338,4 区,No
Engineering,MICROELECTRONICS INTERNATIONAL,1356-5362,1758-812X,4 区,No
Engineering,KERNTECHNIK,0932-3902,2195-8580,4 区,No
Engineering,Bulletin of the Polish Academy of Sciences-Technical Sciences,0239-7528,2300-1917,4 区,No
Engineering,QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,0033-5614,1464-3855,4 区,No
Engineering,FREQUENZ,0016-1136,2191-6349,4 区,No
Engineering,INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION,1023-666X,1563-5341,4 区,No
Engineering,ENGINEERING RESEARCH,0015-7899,1434-0860,4 区,No
Engineering,IEEJ Transactions on Electrical and Electronic Engineering,1931-4973,1931-4981,4 区,No
Engineering,International Journal of Clothing Science and Technology,0955-6222,1758-5953,4 区,No
Engineering,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,0218-1266,1793-6454,4 区,No
Engineering,ELECTRIC POWER COMPONENTS AND SYSTEMS,1532-5008,1532-5016,4 区,No
Engineering,CHEMIE INGENIEUR TECHNIK,0009-286X,1522-2640,4 区,No
Engineering,ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER,1431-5254,-,4 区,No
Engineering,Journal of Computational and Theoretical Transport,2332-4309,2332-4325,4 区,No
Engineering,International Journal of Acoustics and Vibration,1027-5851,-,4 区,No
Engineering,PROCESS SAFETY PROGRESS,1066-8527,1547-5913,4 区,No
Engineering,International Journal of Surface Science and Engineering,1749-785X,1749-7868,4 区,No
Engineering,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,2166-2746,2166-2754,4 区,No
Engineering,Journal of Semiconductor Technology and Science,1598-1657,2233-4866,4 区,No
Engineering,IEEE SPECTRUM,0018-9235,1939-9340,4 区,No
Engineering,Radioengineering,1210-2512,-,4 区,No
Engineering,JOURNAL OF SHIP RESEARCH,0022-4502,1542-0604,4 区,No
Engineering,COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,0332-1649,0332-1649,4 区,No
Engineering,JOURNAL OF ENHANCED HEAT TRANSFER,1065-5131,1563-5074,4 区,No
Engineering,Measurement Science Review,1335-8871,1335-8871,4 区,No
Engineering,INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,0334-0082,2191-0332,4 区,No
Engineering,Journal of Theoretical and Applied Mechanics,1429-2955,1429-2955,4 区,No
Engineering,JOURNAL OF POLYMER ENGINEERING,0334-6447,2191-0340,4 区,No
Engineering,Thermal Science,0354-9836,2334-7163,4 区,No
Engineering,Industria Textila,1222-5347,-,4 区,No
Engineering,IEICE Electronics Express,1349-2543,1349-2543,4 区,No
Engineering,Petrophysics,1529-9074,1529-9074,4 区,No
