期刊名称,JCR_2024JIF,JCR_Quartile,JCR_JIF_rank,JCR_Category,CAS_分区,CAS_Top,CAS_OpenAccess,ISSN,EISSN,出版商,国家,EI_学科,数据来源
JOURNAL OF EARLY MODERN CHRISTIANITY,0.1,Q3,363/538,HISTORY(ESCI);RELIGION(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EARLY MODERN HISTORY,0.9,Q1,24/538,"HISTORY(AHCI, SSCI)",2,否,否,,,,,,JCR+CAS
JOURNAL OF EARLY MODERN STUDIES,0.1,,,MEDIEVAL & RENAISSANCE STUDIES(ESCI),2,否,是,,,,,,JCR+CAS
JOURNAL OF EARLY MODERN STUDIES-ROMANIA,0.2,,,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EARTH SCIENCE,4.7,Q1,30/258,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",1,是,否,,,,,,JCR+CAS
JOURNAL OF EARTH SYSTEM SCIENCE,1.7,Q3,165/258,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EARTHQUAKE AND TSUNAMI,,,,"ENGINEERING, CIVIL(SCIE);GEOCHEMISTRY & GEOPHYSICS(SCIE)",4,否,否,,,,,,CAS
JOURNAL OF EARTHQUAKE ENGINEERING,2.7,Q2,68/183,"ENGINEERING, CIVIL(SCIE);ENGINEERING, GEOLOGICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",3,否,否,13632469,-,Taylor and Francis Ltd.,United Kingdom,"Geotechnical Engineering and Engineering Geology; Civil and Structural Engineering; Safety, Risk, Reliability and Quality; Building and Construction",JCR+CAS+EI
JOURNAL OF EAST ASIA AND INTERNATIONAL LAW,0.2,Q3,313/434,LAW(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EAST ASIAN LINGUISTICS,0.5,Q3,216/303,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF EAST ASIAN STUDIES,1.6,Q1,22/182,AREA STUDIES(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EAST EUROPEAN MANAGEMENT STUDIES,0.6,Q4,368/420,MANAGEMENT(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EAST-WEST BUSINESS,0.9,Q4,262/316,BUSINESS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EASTERN AFRICAN STUDIES,0.6,Q2,86/182,AREA STUDIES(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EASTERN MEDITERRANEAN ARCHAEOLOGY AND HERITAGE STUDIES,0.8,,,ARCHAEOLOGY(ESCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EATING DISORDERS,4.5,Q1,13/185,"NUTRITION & DIETETICS(SCIE);PSYCHIATRY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)",2,否,是,,,,,,JCR+CAS
JOURNAL OF ECCLESIASTICAL HISTORY,0.3,Q2,176/538,HISTORY(AHCI);RELIGION(AHCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF ECHOCARDIOGRAPHY,1.5,Q3,149/230,CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECOHYDRAULICS,1.8,Q3,85/131,ENVIRONMENTAL SCIENCES(ESCI);WATER RESOURCES(ESCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ECOLOGICAL ENGINEERING,1.5,Q4,69/83,"ENGINEERING, ENVIRONMENTAL(ESCI)",4,否,是,,,,,,JCR+CAS
JOURNAL OF ECOLOGY,5.6,Q1,27/273,ECOLOGY(SCIE);PLANT SCIENCES(SCIE),1,是,否,,,,,,JCR+CAS
JOURNAL OF ECONOMETRICS,4.0,Q1,14/136,"ECONOMICS(SSCI);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI)",2,否,否,03044076,18726895,Elsevier Ltd,United Kingdom,History and Philosophy of Science; Economics and Econometrics; Applied Mathematics,JCR+CAS+EI
JOURNAL OF ECONOMIC AND ADMINISTRATIVE SCIENCES,1.7,Q2,260/617,ECONOMICS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,2.3,Q2,175/617,ECONOMICS(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC DYNAMICS & CONTROL,2.3,Q2,175/617,ECONOMICS(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC EDUCATION,0.9,Q3,464/756,ECONOMICS(SSCI);EDUCATION & EDUCATIONAL RESEARCH(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC ENTOMOLOGY,2.4,Q1,20/110,ENTOMOLOGY(SCIE),2,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC GEOGRAPHY,2.9,Q1,30/173,ECONOMICS(SSCI);GEOGRAPHY(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC GROWTH,2.9,Q1,129/617,ECONOMICS(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC HISTORY,2.9,Q1,1/538,ECONOMICS(SSCI);HISTORY(AHCI);HISTORY OF SOCIAL SCIENCES(SSCI),1,是,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC INEQUALITY,2.4,Q2,160/617,ECONOMICS(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC INTEGRATION,1.0,Q3,391/617,ECONOMICS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC INTERACTION AND COORDINATION,1.0,Q3,391/617,ECONOMICS(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC ISSUES,0.8,Q3,442/617,ECONOMICS(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC LITERATURE,10.6,Q1,8/617,ECONOMICS(SSCI),1,是,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC METHODOLOGY,1.8,Q2,234/617,ECONOMICS(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC PERSPECTIVES,8.8,Q1,12/617,ECONOMICS(SSCI),1,是,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC POLICY REFORM,3.2,Q1,111/617,DEVELOPMENT STUDIES(SSCI);ECONOMICS(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC POLICY RESEARCHES-IKTISAT POLITIKASI ARASTIRMALARI DERGISI,0.3,Q4,212/241,"BUSINESS, FINANCE(ESCI);ECONOMICS(ESCI)",,,,,,,,,JCR
JOURNAL OF ECONOMIC PSYCHOLOGY,2.3,Q2,175/617,"ECONOMICS(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",2,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC SOCIOLOGY-EKONOMICHESKAYA SOTSIOLOGIYA,0.3,Q4,190/219,SOCIOLOGY(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC STUDIES,2.4,Q2,160/617,ECONOMICS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC SURVEYS,5.0,Q1,50/617,ECONOMICS(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMIC THEORY,1.2,Q3,349/617,ECONOMICS(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMICS,1.7,Q2,260/617,ECONOMICS(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,1.4,Q3,309/617,ECONOMICS(SSCI);MANAGEMENT(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMICS AND BUSINESS,3.4,Q1,57/241,"BUSINESS, FINANCE(ESCI)",3,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMICS AND DEVELOPMENT,4.3,Q1,65/617,DEVELOPMENT STUDIES(ESCI);ECONOMICS(ESCI),,,,,,,,,JCR
JOURNAL OF ECONOMICS AND FINANCE,1.5,Q2,293/617,"BUSINESS, FINANCE(ESCI);ECONOMICS(ESCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF ECONOMICS FINANCE AND ADMINISTRATIVE SCIENCE,1.9,Q2,225/617,ECONOMICS(ESCI),3,否,是,,,,,,JCR+CAS
JOURNAL OF ECONOMICS RACE AND POLICY,1.1,Q3,372/617,ECONOMICS(ESCI),,,,,,,,,JCR
JOURNAL OF ECONOMY CULTURE AND SOCIETY,0.5,Q4,172/219,SOCIOLOGY(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF ECOTOURISM,2.4,Q2,53/139,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF ECT,1.8,Q3,182/288,"BEHAVIORAL SCIENCES(SCIE);PSYCHIATRY(SCIE, SSCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF ECUMENICAL STUDIES,0.1,,,RELIGION(AHCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION,1.1,Q3,397/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF EDUCATION AND FUTURE-EGITIM VE GELECEK DERGISI,0.3,Q4,628/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION AND HEALTH PROMOTION,1.3,Q3,49/86,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",4,否,是,,,,,,JCR+CAS
JOURNAL OF EDUCATION AND WORK,1.7,Q2,260/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION CULTURE AND SOCIETY,1.7,Q2,75/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",4,否,是,,,,,,JCR+CAS
JOURNAL OF EDUCATION FINANCE,0.2,Q4,668/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION FOR BUSINESS,0.7,Q3,518/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION FOR STUDENTS PLACED AT RISK,1.2,Q2,372/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION FOR TEACHING,1.7,Q2,260/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION POLICY,3.0,Q1,100/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),1,是,否,,,,,,JCR+CAS
JOURNAL OF EDUCATION-US,1.0,Q3,435/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL ADMINISTRATION,2.0,Q2,197/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL ADMINISTRATION AND HISTORY,1.6,Q2,280/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,1.7,Q2,260/756,"EDUCATION & EDUCATIONAL RESEARCH(SSCI);PSYCHOLOGY, MATHEMATICAL(SSCI);SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI)",3,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,1.1,Q4,63/74,"PSYCHOLOGY, EDUCATIONAL(SSCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL CHANGE,2.9,Q1,109/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,4.9,Q1,27/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL CULTURAL AND PSYCHOLOGICAL STUDIES,0.3,Q4,72/74,"PSYCHOLOGY, EDUCATIONAL(ESCI)",4,否,是,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL EVALUATION FOR HEALTH PROFESSIONS,3.7,Q1,13/86,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",4,否,是,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL MEASUREMENT,1.6,Q3,70/115,"PSYCHOLOGY, APPLIED(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI);PSYCHOLOGY, MATHEMATICAL(SSCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL PSYCHOLOGY,6.4,Q1,4/74,"PSYCHOLOGY, EDUCATIONAL(SSCI)",1,是,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL RESEARCH,1.8,Q2,232/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EDUCATIONAL SCIENCES & PSYCHOLOGY,0.3,Q4,628/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF EGYPTIAN ARCHAEOLOGY,0.4,,,ARCHAEOLOGY(AHCI),2,否,否,,,,,,JCR+CAS
JOURNAL OF EGYPTIAN HISTORY,0.3,Q2,176/538,HISTORY(ESCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EGYPTIAN WOMENS DERMATOLOGICAL SOCIETY,0.3,Q4,88/96,DERMATOLOGY(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF ELASTICITY,1.4,Q3,90/175,"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);MECHANICS(SCIE)",3,否,否,03743535,15732681,Springer Science and Business Media B.V.,Netherlands,Mechanical Engineering; Mechanics of Materials; Materials Science (all),JCR+CAS+EI
JOURNAL OF ELASTOMERS AND PLASTICS,1.6,Q3,69/94,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);POLYMER SCIENCE(SCIE)",4,否,否,00952443,15308006,SAGE Publications Ltd,United Kingdom,Materials Chemistry; Polymers and Plastics,JCR+CAS+EI
JOURNAL OF ELDER ABUSE & NEGLECT,1.5,Q3,30/48,GERONTOLOGY(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTIONS PUBLIC OPINION AND PARTIES,1.6,Q2,134/322,POLITICAL SCIENCE(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTRIC PROPULSION,,,,,,,,-,27314596,Springer Nature,Switzerland,Aerospace Engineering; Mechanical Engineering; Physics and Astronomy (miscellaneous),EI
JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,1.1,Q4,199/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",4,否,是,20900147,20900155,John Wiley and Sons Ltd,United Kingdom,Computer Science (all); Signal Processing; Electrical and Electronic Engineering,JCR+CAS+EI
JOURNAL OF ELECTRICAL ENGINEERING & TECHNOLOGY,1.6,Q3,258/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",4,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTRICAL ENGINEERING AND TECHNOLOGY,,,,,,,,19750102,20937423,Korean Institute of Electrical Engineers,Singapore,Electrical and Electronic Engineering,EI
JOURNAL OF ELECTRICAL ENGINEERING-ELEKTROTECHNICKY CASOPIS,1.2,Q4,289/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",4,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTROANALYTICAL CHEMISTRY,4.1,Q1,25/111,"CHEMISTRY, ANALYTICAL(SCIE);ELECTROCHEMISTRY(SCIE)",3,否,否,15726657,-,Elsevier B.V.,Netherlands,Chemical Engineering (all); Analytical Chemistry; Electrochemistry,JCR+CAS+EI
JOURNAL OF ELECTROCARDIOLOGY,1.2,Q4,177/230,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),4,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTROCERAMICS,2.6,Q2,10/33,"MATERIALS SCIENCE, CERAMICS(SCIE)",4,否,否,13853449,15738663,Springer,United States,"Electrical and Electronic Engineering; Mechanics of Materials; Ceramics and Composites; Electronic, Optical and Magnetic Materials; Materials Chemistry; Condensed Matter Physics",JCR+CAS+EI
JOURNAL OF ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE,1.9,Q3,33/44,ELECTROCHEMISTRY(SCIE);ENERGY & FUELS(SCIE),4,否,否,23816872,23816910,American Society of Mechanical Engineers (ASME),United States,"Energy Engineering and Power Technology; Renewable Energy, Sustainability and the Environment; Mechanical Engineering; Mechanics of Materials; Electronic, Optical and Magnetic Materials",JCR+CAS+EI
JOURNAL OF ELECTROCHEMICAL SCIENCE AND ENGINEERING,2.6,Q3,27/44,ELECTROCHEMISTRY(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF ELECTROCHEMICAL SCIENCE AND TECHNOLOGY,3.0,Q3,24/44,ELECTROCHEMISTRY(SCIE),4,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTROMAGNETIC ENGINEERING AND SCIENCE,1.7,Q3,253/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",3,否,是,,,,,,JCR+CAS
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,1.1,Q4,294/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);PHYSICS, APPLIED(SCIE)",4,否,否,09205071,15693937,Taylor and Francis Ltd.,United Kingdom,"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Physics and Astronomy (all)",JCR+CAS+EI
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,2.3,Q1,38/173,NEUROSCIENCES(SCIE);PHYSIOLOGY(SCIE);REHABILITATION(SCIE);SPORT SCIENCES(SCIE),3,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,1.5,Q3,29/44,SPECTROSCOPY(SCIE),3,否,否,03682048,-,Elsevier B.V.,Netherlands,"Physical and Theoretical Chemistry; Spectroscopy; Electronic, Optical and Magnetic Materials; Condensed Matter Physics; Atomic and Molecular Physics, and Optics; Radiation",JCR+CAS+EI
JOURNAL OF ELECTRONIC COMMERCE IN ORGANIZATIONS,1.2,Q4,239/316,BUSINESS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTRONIC COMMERCE RESEARCH,3.4,Q2,129/316,BUSINESS(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTRONIC IMAGING,1.0,Q4,103/125,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);OPTICS(SCIE)",4,否,否,10179909,1560229X,SPIE,United States,"Computer Science Applications; Electrical and Electronic Engineering; Atomic and Molecular Physics, and Optics",JCR+CAS+EI
JOURNAL OF ELECTRONIC MATERIALS,2.5,Q2,182/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE)",4,否,否,03615235,1543186X,Springer,United States,"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Materials Chemistry; Condensed Matter Physics",JCR+CAS+EI
JOURNAL OF ELECTRONIC PACKAGING,2.3,Q2,80/182,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);ENGINEERING, MECHANICAL(SCIE)",4,否,否,10437398,15289044,American Society of Mechanical Engineers (ASME),United States,"Computer Science Applications; Electrical and Electronic Engineering; Mechanics of Materials; Electronic, Optical and Magnetic Materials",JCR+CAS+EI
JOURNAL OF ELECTRONIC SCIENCE AND TECHNOLOGY,,,,,,,,1674862X,2666223X,KeAi Communications Co.,China,Computer Networks and Communications; Signal Processing; Electrical and Electronic Engineering,EI
JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,1.3,Q4,281/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",4,否,否,,,,,,JCR+CAS
JOURNAL OF ELECTRONIC TESTING: THEORY AND APPLICATIONS (JETTA),,,,,,,,09238174,15730727,Springer,United States,Electrical and Electronic Engineering,EI
JOURNAL OF ELECTRONICS & INFORMATION TECHNOLOGY,,,,,3,否,否,,,,,,CAS
JOURNAL OF ELECTROSTATICS,2.1,Q3,214/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",3,否,否,03043886,-,Elsevier B.V.,Netherlands,"Biotechnology; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Surfaces, Coatings and Films; Condensed Matter Physics",JCR+CAS+EI
JOURNAL OF ELEMENTOLOGY,0.7,Q4,354/374,ENVIRONMENTAL SCIENCES(SCIE),4,否,否,,,,,,JCR+CAS
JOURNAL OF ELLIPTIC AND PARABOLIC EQUATIONS,1.1,Q1,108/483,MATHEMATICS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EMDR PRACTICE AND RESEARCH,0.7,Q4,162/185,"PSYCHOLOGY(ESCI);PSYCHOLOGY, CLINICAL(ESCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EMERGENCIES TRAUMA AND SHOCK,0.7,Q4,43/56,EMERGENCY MEDICINE(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF EMERGENCY MEDICINE,1.3,Q3,31/56,EMERGENCY MEDICINE(SCIE),4,否,否,,,,,,JCR+CAS
JOURNAL OF EMERGENCY MEDICINE CASE REPORTS,0.1,Q4,55/56,EMERGENCY MEDICINE(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF EMERGENCY NURSING,2.3,Q1,44/192,"EMERGENCY MEDICINE(SCIE);NURSING(SCIE, SSCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EMERGING MARKET FINANCE,1.2,Q3,164/241,"BUSINESS, FINANCE(ESCI)",3,否,否,,,,,,JCR+CAS
JOURNAL OF EMERGING TECHNOLOGIES IN ACCOUNTING,2.0,Q2,110/241,"BUSINESS, FINANCE(ESCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1.6,Q1,14/62,"EDUCATION, SPECIAL(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF EMPIRICAL FINANCE,2.4,Q2,160/617,"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)",3,否,否,,,,,,JCR+CAS
JOURNAL OF EMPIRICAL LEGAL STUDIES,1.3,Q1,104/434,LAW(SSCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS,1.1,Q3,45/77,ETHICS(SSCI);MEDICAL ETHICS(SCIE),3,否,否,,,,,,JCR+CAS
JOURNAL OF EMPIRICAL THEOLOGY,0.8,,,RELIGION(ESCI),3,否,否,,,,,,JCR+CAS
JOURNAL OF EMPLOYMENT COUNSELING,0.8,Q4,100/115,"PSYCHOLOGY, APPLIED(SSCI)",4,否,否,,,,,,JCR+CAS
JOURNAL OF ENABLING TECHNOLOGIES,1.0,Q4,130/173,REHABILITATION(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,3.5,Q2,71/191,ENDOCRINOLOGY & METABOLISM(SCIE),2,否,否,,,,,,JCR+CAS
JOURNAL OF ENDOCRINOLOGY,3.9,Q2,56/191,ENDOCRINOLOGY & METABOLISM(SCIE),3,否,否,,,,,,JCR+CAS
JOURNAL OF ENDOCRINOLOGY AND METABOLISM,0.6,Q4,176/191,ENDOCRINOLOGY & METABOLISM(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ENDOCRINOLOGY METABOLISM AND DIABETES OF SOUTH AFRICA,0.4,Q4,181/191,ENDOCRINOLOGY & METABOLISM(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF ENDODONTICS,3.6,Q1,22/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",2,否,否,,,,,,JCR+CAS
JOURNAL OF ENDOMETRIOSIS AND PELVIC PAIN DISORDERS,0.7,Q4,116/140,OBSTETRICS & GYNECOLOGY(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ENDOUROLOGY,2.8,Q2,38/133,UROLOGY & NEPHROLOGY(SCIE),2,否,否,,,,,,JCR+CAS
JOURNAL OF ENDOVASCULAR RESUSCITATION AND TRAUMA MANAGEMENT,0.4,Q4,49/56,EMERGENCY MEDICINE(ESCI);SURGERY(ESCI),4,否,是,,,,,,JCR+CAS
JOURNAL OF ENDOVASCULAR THERAPY,1.5,Q3,174/312,PERIPHERAL VASCULAR DISEASE(SCIE);SURGERY(SCIE),3,否,否,,,,,,JCR+CAS
JOURNAL OF ENERGETIC MATERIALS,1.9,Q3,45/75,"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, PHYSICAL(SCIE);ENGINEERING, CHEMICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",4,否,否,07370652,15458822,Taylor and Francis Ltd.,United States,Physics and Astronomy (miscellaneous),JCR+CAS+EI
JOURNAL OF ENERGY & NATURAL RESOURCES LAW,2.1,Q1,41/434,ENVIRONMENTAL STUDIES(SSCI);LAW(SSCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ENERGY CHEMISTRY,14.9,Q1,2/75,"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)",1,是,否,20954956,-,Elsevier B.V.,Netherlands,Electrochemistry; Energy (miscellaneous); Energy Engineering and Power Technology; Fuel Technology,JCR+CAS+EI
JOURNAL OF ENERGY ENGINEERING,1.8,Q3,109/183,"ENERGY & FUELS(SCIE);ENGINEERING, CIVIL(SCIE)",4,否,否,07339402,19437897,American Society of Civil Engineers (ASCE),United States,"Energy Engineering and Power Technology; Nuclear Energy and Engineering; Renewable Energy, Sustainability and the Environment; Civil and Structural Engineering; Waste Management and Disposal",JCR+CAS+EI
JOURNAL OF ENERGY IN SOUTHERN AFRICA,1.2,Q4,163/182,ENERGY & FUELS(SCIE),4,否,是,,,,,,JCR+CAS
JOURNAL OF ENERGY MARKETS,0.4,Q4,530/617,ECONOMICS(ESCI),4,否,否,,,,,,JCR+CAS
JOURNAL OF ENERGY RESOURCES TECHNOLOGY,,,,,,,,01950738,15288994,American Society of Mechanical Engineers (ASME),United States,"Geochemistry and Petrology; Energy Engineering and Power Technology; Fuel Technology; Renewable Energy, Sustainability and the Environment; Mechanical Engineering",EI
JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,2.4,Q3,132/182,ENERGY & FUELS(SCIE),3,否,否,,,,,,JCR+CAS
JOURNAL OF ENERGY STORAGE,9.8,Q1,26/182,ENERGY & FUELS(SCIE),2,否,否,-,2352152X,Elsevier Ltd,United Kingdom,"Energy Engineering and Power Technology; Renewable Energy, Sustainability and the Environment; Electrical and Electronic Engineering",JCR+CAS+EI
